[Wed Feb 02 23:02:55.904298 2022] [proxy_fcgi:error] [pid 7116:tid 1288] [client 127.0.0.1:49742] AH01067: Failed to read FastCGI header, referer: https://orange-university.local/wp-admin/index.php
[Wed Feb 02 23:02:55.904298 2022] [proxy_fcgi:error] [pid 7116:tid 1232] [client 127.0.0.1:49741] AH01067: Failed to read FastCGI header, referer: https://orange-university.local/wp-admin/index.php
[Wed Feb 02 23:02:55.905296 2022] [proxy_fcgi:error] [pid 7116:tid 1312] [client 127.0.0.1:49398] AH01067: Failed to read FastCGI header, referer: http://orange-university.local/wp-admin/tools.php?page=health-check
[Wed Feb 02 23:02:55.905296 2022] [proxy_fcgi:error] [pid 7116:tid 1232] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:49741] AH01075: Error dispatching request to :10004: , referer: https://orange-university.local/wp-admin/index.php
[Wed Feb 02 23:02:55.904298 2022] [proxy_fcgi:error] [pid 7116:tid 1288] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:49742] AH01075: Error dispatching request to :10004: , referer: https://orange-university.local/wp-admin/index.php
[Wed Feb 02 23:02:55.905296 2022] [proxy_fcgi:error] [pid 7116:tid 1312] (OS 10054)An existing connection was forcibly closed by the remote host.  : [client 127.0.0.1:49398] AH01075: Error dispatching request to :10004: , referer: http://orange-university.local/wp-admin/tools.php?page=health-check
[Wed Feb 02 23:07:21.530004 2022] [proxy_fcgi:error] [pid 3144:tid 1244] (70007)The timeout specified has expired: [client 127.0.0.1:51188] AH01075: Error dispatching request to :10004: (polling), referer: http://orange-university.local/wp-admin/index.php
[Wed Feb 02 23:07:26.627588 2022] [proxy_fcgi:error] [pid 3144:tid 1232] (70007)The timeout specified has expired: [client 127.0.0.1:51219] AH01075: Error dispatching request to :10004: (polling), referer: http://orange-university.local/wp-admin/
[Wed Feb 02 23:07:28.227660 2022] [proxy_fcgi:error] [pid 3144:tid 1180] (70007)The timeout specified has expired: [client 127.0.0.1:51231] AH01075: Error dispatching request to :10004: (polling), referer: https://orange-university.local/wp-admin/post.php?post=44&action=edit
[Wed Feb 02 23:07:30.648170 2022] [proxy_fcgi:error] [pid 3144:tid 1212] (70007)The timeout specified has expired: [client 127.0.0.1:51249] AH01075: Error dispatching request to :10004: (polling), referer: http://orange-university.local/wp-admin/
[Wed Feb 02 23:07:32.765520 2022] [proxy_fcgi:error] [pid 3144:tid 1240] (70007)The timeout specified has expired: [client 127.0.0.1:51261] AH01075: Error dispatching request to :10004: (polling), referer: http://orange-university.local/wp-admin/
[Thu Feb 03 00:13:25.263857 2022] [proxy_fcgi:error] [pid 20752:tid 1208] (70007)The timeout specified has expired: [client 127.0.0.1:55346] AH01075: Error dispatching request to :10004: (polling), referer: http://orange-university.local/wp-admin/tools.php?page=health-check&tab=site-status
[Thu Feb 03 00:13:43.199485 2022] [proxy_fcgi:error] [pid 20752:tid 1192] (70007)The timeout specified has expired: [client 127.0.0.1:55371] AH01075: Error dispatching request to :10004: (polling), referer: http://orange-university.local/wp-admin/tools.php?page=health-check&tab=site-status
[Thu Feb 03 00:13:44.648747 2022] [proxy_fcgi:error] [pid 20752:tid 1184] (70007)The timeout specified has expired: [client 127.0.0.1:55374] AH01075: Error dispatching request to :10004: (polling), referer: http://orange-university.local/wp-admin/tools.php?page=health-check&tab=site-status
[Thu Feb 03 00:13:44.961497 2022] [proxy_fcgi:error] [pid 20752:tid 1176] (70007)The timeout specified has expired: [client 127.0.0.1:55380] AH01075: Error dispatching request to :10004: (polling), referer: http://orange-university.local/wp-json/wp/v2/types/post?context=edit
[Thu Feb 03 00:13:45.552230 2022] [proxy_fcgi:error] [pid 20752:tid 1168] (70007)The timeout specified has expired: [client 127.0.0.1:55383] AH01075: Error dispatching request to :10004: (polling), referer: http://orange-university.local/wp-admin/tools.php?page=health-check&tab=site-status
[Thu Feb 03 01:00:24.212923 2022] [proxy_fcgi:error] [pid 20752:tid 1248] (70007)The timeout specified has expired: [client 127.0.0.1:62689] AH01075: Error dispatching request to :10004: (polling), referer: https://orange-university.local/wp-admin/post.php?post=44&action=edit
